iter	Passed	Remaining
414	2872	4048
415	2876	4038
416	2883	4031
417	2888	4021
418	2892	4011
419	2899	4004
420	2905	3995
421	2910	3986
422	2917	3980
423	2923	3972
424	2931	3965
425	2936	3956
426	2942	3947
427	2948	3940
428	2954	3932
429	2959	3922
430	2965	3915
431	2970	3906
432	2976	3897
433	2983	3891
434	2989	3882
435	2996	3876
436	3003	3869
437	3008	3860
438	3017	3856
439	3022	3847
440	3031	3842
441	3037	3834
442	3043	3827
443	3050	3820
444	3056	3811
445	3064	3806
446	3070	3798
447	3077	3791
448	3084	3784
449	3089	3775
450	3097	3770
451	3102	3761
452	3109	3754
453	3118	3750
454	3125	3743
455	3132	3736
456	3137	3727
457	3144	3721
458	3151	3714
459	3158	3707
460	3164	3699
461	3168	3690
462	3178	3686
463	3184	3678
464	3194	3675
465	3200	3667
466	3208	3662
467	3214	3654
468	3220	3645
469	3226	3638
470	3231	3629
471	3236	3620
472	3244	3614
473	3249	3606
474	3257	3600
475	3262	3591
476	3267	3582
477	3274	3575
478	3279	3566
479	3284	3557
480	3290	3550
481	3295	3541
482	3300	3532
483	3307	3526
484	3312	3517
485	3319	3510
486	3325	3502
487	3330	3494
488	3338	3488
489	3344	3480
490	3350	3473
491	3357	3467
492	3365	3460
493	3372	3454
494	3378	3446
495	3385	3440
496	3392	3433
497	3397	3424
498	3405	3418
499	3411	3411
500	3418	3405
501	3426	3399
502	3434	3393
503	3441	3386
504	3447	3378
505	3454	3372
506	3461	3365
507	3468	3359
508	3475	3352
509	3482	3346
510	3488	3338
511	3493	3329
512	3499	3322
513	3508	3317
514	3514	3309
515	3520	3302
516	3525	3293
517	3531	3285
518	3538	3279
519	3543	3270
520	3549	3263
521	3556	3256
522	3560	3247
523	3568	3241
524	3573	3233
525	3580	3226
526	3585	3218
527	3590	3209
528	3596	3202
529	3601	3194
530	3607	3186
531	3613	3178
532	3618	3170
533	3623	3162
534	3630	3155
535	3636	3147
536	3640	3139
537	3647	3132
538	3653	3124
539	3658	3116
540	3665	3109
541	3670	3101
542	3675	3093
543	3681	3085
544	3686	3077
545	3692	3070
546	3697	3062
547	3704	3055
548	3711	3049
549	3717	3041
550	3722	3033
551	3728	3026
552	3734	3018
553	3741	3011
554	3746	3003
555	3752	2996
556	3760	2990
557	3767	2983
558	3773	2976
559	3781	2970
560	3787	2963
561	3793	2956
562	3801	2950
563	3808	2944
564	3814	2937
565	3820	2929
566	3827	2923
567	3833	2915
568	3841	2909
569	3847	2902
570	3852	2894
571	3861	2889
572	3866	2881
573	3874	2875
574	3882	2869
575	3889	2863
576	3895	2855
577	3905	2851
578	3911	2844
579	3918	2837
580	3928	2833
581	3934	2826
582	3942	2820
583	3950	2814
584	3960	2809
585	3967	2802
586	3978	2799
587	3987	2793
588	3993	2786
589	4004	2782
590	4012	2776
591	4022	2772
592	4029	2765
593	4038	2760
594	4044	2753
595	4050	2745
596	4059	2740
597	4065	2732
598	4077	2729
599	4086	2724
600	4093	2717
601	4100	2710
602	4108	2704
603	4114	2697
604	4124	2692
605	4130	2685
606	4141	2681
607	4148	2674
608	4158	2669
609	4164	2662
610	4172	2656
611	4180	2650
612	4189	2644
613	4195	2637
614	4204	2632
615	4210	2624
616	4218	2618
617	4224	2610
618	4231	2604
619	4238	2597
620	4244	2590
621	4254	2585
622	4260	2578
623	4269	2572
624	4275	2565
625	4286	2560
626	4292	2553
627	4302	2548
628	4308	2541
629	4317	2535
630	4323	2528
631	4333	2523
632	4339	2515
633	4348	2510
634	4354	2502
635	4361	2496
636	4368	2489
637	4376	2483
638	4382	2475
639	4389	2469
640	4395	2461
641	4402	2454
642	4409	2448
643	4415	2440
644	4421	2433
645	4428	2426
646	4433	2418
647	4439	2411
648	4445	2404
649	4450	2396
650	4457	2389
651	4463	2382
652	4468	2374
653	4475	2367
654	4480	2359
655	4486	2352
656	4492	2345
657	4498	2338
658	4504	2331
659	4511	2324
660	4517	2316
661	4524	2310
662	4531	2303
663	4541	2297
664	4546	2290
665	4553	2283
666	4559	2276
667	4564	2268
668	4574	2263
669	4580	2255
670	4588	2249
671	4595	2242
672	4602	2236
673	4610	2229
674	4617	2223
675	4625	2217
676	4631	2209
677	4641	2204
678	4646	2196
679	4654	2190
680	4661	2183
681	4669	2177
682	4676	2170
683	4682	2163
684	4690	2156
685	4695	2149
686	4706	2144
687	4711	2136
688	4720	2130
689	4727	2123
690	4734	2117
691	4740	2109
692	4746	2102
693	4752	2095
694	4758	2088
695	4767	2082
696	4774	2075
697	4783	2069
698	4789	2062
699	4799	2056
700	4806	2050
701	4814	2043
702	4820	2036
703	4827	2029
704	4832	2022
705	4838	2015
706	4845	2008
707	4851	2001
708	4858	1994
709	4864	1987
710	4870	1979
711	4876	1972
712	4881	1965
713	4887	1957
714	4894	1950
715	4899	1943
716	4906	1936
717	4912	1929
718	4919	1922
719	4927	1916
720	4933	1908
721	4939	1902
722	4946	1894
723	4951	1887
724	4956	1880
725	4962	1872
726	4967	1865
727	4974	1858
728	4980	1851
729	4987	1844
730	4992	1837
731	5000	1830
732	5012	1825
733	5019	1819
734	5027	1812
735	5036	1806
736	5044	1800
737	5050	1792
738	5056	1785
739	5061	1778
740	5068	1771
741	5076	1764
742	5083	1758
743	5090	1751
